Gamefile name:,AwShirt,,,
Soundfile no:,(Comments),Text to record,(Original),Done? (mark with x)
128190,,"Mi kredas ke kelkaj de vi iom ŝvitis ĉi foje. Ni vidu, ĉu portis fruktojn!",I believe some of you broke a sweat that time. Let’s see if it pays off…,
128193,,Venkanto!,Winner!,
128194,,La finala raŭndo nun komencas kaj nur la plej meritaj ĉemizoj de la antaŭaj raŭndoj konkuros. Preparu doni viajn voĉojn POR LA LASTA TEMPO.,The final gauntlet is upon us and only the most worthy shirts from the previous rounds will compete. Prepare to cast your votes FOR THE LAST TIME.,
128195,,Kaj ne cedu al fiero. Uzu sugeston se vi bezonas ĝin.,And Don’t give into pride. Use a suggestion if you need it.,
128196,,"Bonvenon al Tee K.O. Mi estas la turnira majstro…Tiu ne estas mia vera nomo, sed mia koramik(in)o diris ke turnira majstro sonas pli mistera.","Welcome to Tee K.O. I am the Tournament Master…that’s not my real name, but my girlfriend said Tournament Master was more mysterious",
128197,,Ni havas ĉampionon! ,We have a champion! ,
128198,,Komencu!,Begin!,
128199,,Raŭndo unu!,Gauntlet one!,
128200,,Mia sangosoifo estis satigita. Kaj mi finfine havas taŭgan vestaĵon por la edziĝfesto de mia kuzo.,My bloodlust is sated. And I finally have something to wear to my cousin’s wedding.,
128201,,"Por via lasta tasko, vi skribos laŭeble multe da sloganoj aŭ frazoj.","For your last exercise, you will write as many slogans or phrases as you can.",
128202,,Nova defianto aperas…,A new challenger appears…,
128203,,Vi ŝajnas promesplenaj. Plejparto de vi.,You show promise. Most of you.,
128205,,Eku la turniro!,Let the Tournament begin!,
128207,,..kontraŭ…,..versus…,
128208,,La dua turniro atendas kaj la ŝlimaj tentakloj de Fato miksis viajn desegnaĵojn kaj sloganojn.,The second gauntlet awaits and the slimy tentacles of destiny have shuffled your drawings and slogans.,
128209,,Tempo por trejnada sesio.,Time for a training break.,
128210,,Raŭndo du!,Gauntlet two!,
128210,,"Dum niaj konkurantoj trejnas, ĉiuj kiuj spektas la turniron povas aliĝi al la spektantaro por sendi proprajn sugestojn kaj influi la rezulton de la ludo!","While our contestants train, anyone watching the Tournament can join the audience to submit your own suggestions and affect the outcome of the game!",
128214,,Bonege.,Well done.,
128215,,Tempo forfluas. Hastu iom kaj pretiĝu!,Time grows short. Hurry up and finish already!,
128216,,Via trejnado finiĝis. Nun direktu la okulojn al viaj aparatoj.,Your training is complete. Now point your eyes at your device.,
128218,,"La sortoj benis vin per serio da bildoj kaj sloganoj. Selektu po unu por krei vian ĉampionan ĉemizon. Mi ne volas premi vin, sed MULTE dependas de tiu.","The fates have blessed you with a series of pictures and slogans. Select one of each to create your t-shirt champion. I don’t want to pressure you, but A LOT is riding on this.",
128221,,"Mi prenis vin ĉiujn ĉi tien al Ĉemizo-Insulo, ĉar vi estas la plej superaj ĉemizĉampionoj de tiu-ĉi Sfero. Kaj ĉar mi provas trovi pli da amikoj ekster la laborloko.","I have brought you all here to T-Shirt Island, because you are the greatest novelty t-shirt champions in this realm. And because I’m trying to make more friends outside of work",
128222,,Mi esperas ke vi elektas saĝe.,I hope you chose wisely.,
130881,,Batalu!,Fight!,
135664,,Plia turniro proksimiĝas al la fino. *suspirante* Ĉu mi maljuniĝas?,Another tournament comes to a close. *sigh* Am I getting old?,
135665,,"Vi ĉiuj batalis bone, sed nun la UNU vera venkanto evidentiĝis.","You have all fought well, but the one true winner has emerged.",
135666,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mia vorto estas leĝo. Sed fakte mi tre alireblas.,Welcome to Tee K.O. I am the Tournament Master and my word is law. But I’m actually very approachable.,
135667,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi havas la laŭleĝan aŭtoritaton edzigi ajnan paron por la daŭro de la ludo. Sed tiu malofte okazas.,Welcome to Tee K.O. I am the Tournament Master and I have the legal authority to marry any couple for the duration of the game. But that probably won’t come up.,
135668,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, sed miaj amikoj nomas min “To-Mo”. Haha, ĉu vi komprenis? To-Mo, kiel ""Turnira Majstro"".","Welcome to Tee K.O. I am the Tournament Master, or as my friends know me, “TournMo”.",
